Date,RBC
12/3/2014,71.75
12/4/2014,70.88
12/5/2014,70.38
12/8/2014,69.55
12/9/2014,69.81
12/10/2014,68.41
12/11/2014,68.05
12/12/2014,66.84
12/15/2014,66.52
12/16/2014,67.51
12/17/2014,68.41
12/18/2014,68.33
12/19/2014,68.78
12/22/2014,68.24
12/23/2014,68.94
12/24/2014,69.08
12/26/2014,69.27
12/29/2014,69.49
12/30/2014,69.34
12/31/2014,69.07
1/2/2015,68.55
1/5/2015,67.1
1/6/2015,66.25
1/7/2015,66.24
1/8/2015,66.61
1/9/2015,65.28
1/12/2015,64.15
1/13/2015,64.13
1/14/2015,63.33
1/15/2015,62.79
1/16/2015,63.09
1/20/2015,62.26
1/21/2015,62.16
1/22/2015,60.26
1/23/2015,60.73
1/26/2015,60.41
1/27/2015,60.54
1/28/2015,59.01
1/29/2015,58.75
1/30/2015,56.59
2/2/2015,58.04
2/3/2015,60.34
2/4/2015,59.01
2/5/2015,60.63
2/6/2015,60.72
2/9/2015,61.35
2/10/2015,60.79
2/11/2015,60.69
2/12/2015,62.03
2/13/2015,62.26
2/17/2015,62.81
2/18/2015,61.82
2/19/2015,61.79
2/20/2015,60.59
2/23/2015,59.69
2/24/2015,60.09
2/25/2015,62.64
2/26/2015,62.39
2/27/2015,62.62
3/2/2015,62.34
3/3/2015,61.84
3/4/2015,62.01
3/5/2015,61.68
3/6/2015,61.11
3/9/2015,61.05
3/10/2015,59.65
3/11/2015,59.52
3/12/2015,60
3/13/2015,59.16
3/16/2015,59.77
3/17/2015,59.64
3/18/2015,60.49
3/19/2015,59.28
3/20/2015,60.76
3/23/2015,61.37
3/24/2015,61.65
3/25/2015,61
3/26/2015,60.79
3/27/2015,59.65
3/30/2015,59.35
3/31/2015,60.36
4/1/2015,60.42
4/2/2015,61.13
4/6/2015,61.77
4/7/2015,62.22
4/8/2015,62.52
4/9/2015,62.82
4/10/2015,63.27
4/13/2015,63.65
4/14/2015,64.34
4/15/2015,66.02
4/16/2015,66.67
4/17/2015,66.03
4/20/2015,66.44
4/21/2015,65.35
4/22/2015,65.41
4/23/2015,66.24
4/24/2015,66.2
4/27/2015,66.66
4/28/2015,67.25
4/29/2015,67.28
4/30/2015,66.48
5/1/2015,66.01
5/4/2015,66.54
5/5/2015,65.96
5/6/2015,65.72
5/7/2015,65.05
5/8/2015,65.52
5/11/2015,65.36
5/12/2015,65.53
5/13/2015,65.52
5/14/2015,65.78
5/15/2015,65.51
5/18/2015,65.13
5/19/2015,65.47
5/20/2015,65.22
5/21/2015,65.84
5/22/2015,65.32
5/26/2015,63.99
5/27/2015,64.15
5/28/2015,64.34
5/29/2015,63.63
6/1/2015,62.9
6/2/2015,63.75
6/3/2015,64.41
6/4/2015,63.96
6/5/2015,63.95
6/8/2015,63.4
6/9/2015,63.14
6/10/2015,63.8
6/11/2015,63.65
6/12/2015,63.33
6/15/2015,63.53
6/16/2015,63.73
6/17/2015,63.74
6/18/2015,63.63
6/19/2015,62.41
6/22/2015,62.88
6/23/2015,63.19
6/24/2015,63.03
6/25/2015,63.38
6/26/2015,63.56
6/29/2015,61.71
6/30/2015,61.15
7/1/2015,61.27
7/2/2015,60.73
7/6/2015,60.4
7/7/2015,60.12
7/8/2015,59.31
7/9/2015,59.39
7/10/2015,60.35
7/13/2015,60.42
7/14/2015,60.33
7/15/2015,59.81
7/16/2015,60.09
7/17/2015,59.51
7/20/2015,59.32
7/21/2015,59.19
7/22/2015,58.62
7/23/2015,57.8
7/24/2015,57.03
7/27/2015,56.36
7/28/2015,56.96
7/29/2015,58.24
7/30/2015,58.19
7/31/2015,58.35
8/3/2015,57.79
8/4/2015,58.04
8/5/2015,58.53
8/6/2015,58.81
8/7/2015,58.13
8/10/2015,59.48
8/11/2015,58.41
8/12/2015,58.46
8/13/2015,57.68
8/14/2015,58.04
8/17/2015,57.62
8/18/2015,57.91
8/19/2015,57.78
8/20/2015,56.59
8/21/2015,55.23
8/24/2015,53.35
8/25/2015,54.16
8/26/2015,54.2
8/27/2015,56.04
8/28/2015,55.76
8/31/2015,55.56
9/1/2015,53.96
9/2/2015,53.75
9/3/2015,54.46
9/4/2015,53.43
9/8/2015,54.7
9/9/2015,54.68
9/10/2015,54.71
9/11/2015,54.63
9/14/2015,54.72
9/15/2015,55.24
9/16/2015,56.55
9/17/2015,56.21
9/18/2015,54.82
9/21/2015,55.2
9/22/2015,54.2
9/23/2015,53.73
9/24/2015,53.6
9/25/2015,54.02
9/28/2015,53.12
9/29/2015,53.57
9/30/2015,55.25
10/1/2015,55.5
10/2/2015,54.65
10/5/2015,55.48
10/6/2015,56.22
10/7/2015,56.7
10/8/2015,57.16
10/9/2015,57.1
10/12/2015,56.65
10/13/2015,56.64
10/14/2015,56.77
10/15/2015,57.15
10/16/2015,57.36
10/19/2015,56.52
10/20/2015,57.25
10/21/2015,56.82
10/22/2015,56.73
10/23/2015,56.79
10/26/2015,56.88
10/27/2015,56.86
10/28/2015,57.56
10/29/2015,58.05
10/30/2015,56.83
11/2/2015,56.95
11/3/2015,58.09
11/4/2015,57.73
11/5/2015,58.1
11/6/2015,57.61
11/9/2015,57.23
11/10/2015,57.33
11/11/2015,57.27
11/12/2015,56.4
11/13/2015,55.5
11/16/2015,56.38
11/17/2015,56.67
11/18/2015,56.72
11/19/2015,57.29
11/20/2015,57.02
11/23/2015,56.47
11/24/2015,56.54
11/25/2015,56.6
11/27/2015,56.35
11/30/2015,56.85
12/1/2015,57.59
12/2/2015,57.57
12/3/2015,57.2
12/4/2015,57.32
12/7/2015,55.8
12/8/2015,54.65
12/9/2015,54.95
12/10/2015,54.41
12/11/2015,53.13
12/14/2015,52.72
12/15/2015,53.58
12/16/2015,54.44
12/17/2015,53.69
12/18/2015,53.29
12/21/2015,53.34
12/22/2015,53.37
12/23/2015,54.1
12/24/2015,54.57
12/28/2015,54.2
12/29/2015,54.9
12/30/2015,54.37
12/31/2015,53.58
1/4/2016,52.4
1/5/2016,52.07
1/6/2016,50.84
1/7/2016,49.87
1/8/2016,49.48
1/11/2016,49.46
1/12/2016,49.75
1/13/2016,48.2
