Date,TSLA
8/13/2015,242.51
8/14/2015,243.15
8/17/2015,254.99
8/18/2015,260.72
8/19/2015,255.25
8/20/2015,242.18
8/21/2015,230.77
8/24/2015,218.87
8/25/2015,220.03
8/26/2015,224.84
8/27/2015,242.99
8/28/2015,248.48
8/31/2015,249.06
9/1/2015,238.63
9/2/2015,247.69
9/3/2015,245.57
9/4/2015,241.93
9/8/2015,248.17
9/9/2015,248.91
9/10/2015,248.48
9/11/2015,250.24
9/14/2015,253.19
9/15/2015,253.57
9/16/2015,262.25
9/17/2015,262.07
9/18/2015,260.62
9/21/2015,264.2
9/22/2015,260.94
9/23/2015,261.06
9/24/2015,263.12
9/25/2015,256.91
9/28/2015,248.43
9/29/2015,246.65
9/30/2015,248.4
10/1/2015,239.88
10/2/2015,247.57
10/5/2015,246.15
10/6/2015,241.46
10/7/2015,231.96
10/8/2015,226.72
10/9/2015,220.69
10/12/2015,215.58
10/13/2015,219.25
10/14/2015,216.88
10/15/2015,221.31
10/16/2015,227.01
10/19/2015,228.1
10/20/2015,213.03
10/21/2015,210.09
10/22/2015,211.72
10/23/2015,209.09
10/26/2015,215.26
10/27/2015,210.35
10/28/2015,212.96
10/29/2015,211.63
10/30/2015,206.93
11/2/2015,213.79
11/3/2015,208.35
11/4/2015,231.63
11/5/2015,231.77
11/6/2015,232.36
11/9/2015,225.33
11/10/2015,216.5
11/11/2015,219.08
11/12/2015,212.94
11/13/2015,207.19
11/16/2015,214.31
11/17/2015,214
11/18/2015,221.07
11/19/2015,221.8
11/20/2015,220.01
11/23/2015,217.75
11/24/2015,218.25
11/25/2015,229.64
11/27/2015,231.61
11/30/2015,230.26
12/1/2015,237.19
12/2/2015,231.99
12/3/2015,232.71
12/4/2015,230.38
12/7/2015,231.13
12/8/2015,226.72
12/9/2015,224.52
12/10/2015,227.07
12/11/2015,217.02
12/14/2015,218.58
12/15/2015,221.09
12/16/2015,234.51
12/17/2015,233.39
12/18/2015,230.46
12/21/2015,232.56
12/22/2015,229.95
12/23/2015,229.7
12/24/2015,230.57
12/28/2015,228.95
12/29/2015,237.19
12/30/2015,238.09
12/31/2015,240.01
1/4/2016,223.41
1/5/2016,223.43
1/6/2016,219.04
1/7/2016,215.65
1/8/2016,211
1/11/2016,207.85
1/12/2016,209.97
1/13/2016,200.31
1/14/2016,206.18
1/15/2016,204.99
1/19/2016,204.72
1/20/2016,198.7
1/21/2016,199.97
1/22/2016,202.55
1/25/2016,196.38
1/26/2016,193.56
1/27/2016,188.07
1/28/2016,189.7
1/29/2016,191.2
2/1/2016,196.94
2/2/2016,182.78
2/3/2016,173.48
2/4/2016,175.33
2/5/2016,162.6
2/8/2016,147.99
2/9/2016,148.25
2/10/2016,143.67
2/11/2016,150.47
2/12/2016,151.04
2/16/2016,155.17
2/17/2016,168.68
2/18/2016,166.77
2/19/2016,166.58
2/22/2016,177.74
2/23/2016,177.21
2/24/2016,179
2/25/2016,187.43
2/26/2016,190.34
2/29/2016,191.93
3/1/2016,186.35
3/2/2016,188.34
3/3/2016,195.74
3/4/2016,201.04
3/7/2016,205.29
3/8/2016,202.6
3/9/2016,208.72
3/10/2016,205.18
3/11/2016,207.5
3/14/2016,215.15
3/15/2016,218.34
3/16/2016,221.93
3/17/2016,226.38
3/18/2016,232.74
3/21/2016,238.32
3/22/2016,234.24
3/23/2016,222.58
3/24/2016,227.75
3/28/2016,230.26
3/29/2016,230.13
3/30/2016,226.89
3/31/2016,229.77
4/1/2016,237.59
4/4/2016,246.99
4/5/2016,255.47
4/6/2016,265.42
4/7/2016,257.2
4/8/2016,250.07
4/11/2016,249.92
4/12/2016,247.82
4/13/2016,254.53
4/14/2016,251.86
4/15/2016,254.51
4/18/2016,253.88
4/19/2016,247.37
4/20/2016,249.97
4/21/2016,248.29
4/22/2016,253.75
4/25/2016,251.82
4/26/2016,253.74
4/27/2016,251.47
4/28/2016,247.71
4/29/2016,240.76
5/2/2016,241.8
